 sensors 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
10 BLUE_14_BLUE_18 0.8469320778138065 0.8709285072539651 0.8869177591960927 0.899083288613291 0.9046540951636911 0.9127658961996475 0.9143739030237954 0.9181924374072694 0.9296806656744785 0.9265399715370696 0.9406727464954128 0.945086855661905 0.9364788380493559 0.9384325951581104 0.9552779433190814 0.9502232747732391 0.9515508313443846 0.9521575862864352 0.9545048521646287 0.9564292830568262 0.949817655266966 0.9594074329264238 0.9629310926634894 0.9679249684029929 0.9587822357333142 0.9585454870679682 0.9559395720177086 0.9534779426851611 0.9516324760982806 0.9708799009738718 0.9592506264521878 0.9678443316741686 0.9620105905080333 0.9747936005081987 0.965222494541709 0.9748473840217131 0.9664708140521636 0.9670295579112159 0.9699531514591365 0.976252877944934 0.9747462097932409 0.9688269043245139 0.9765594888493908 0.9649860155512121 0.9772611730103652 0.9679742574126148 0.9740036008648357 0.9776255674790029 0.970455274424119 0.9789371041153138 0.9518602998350112 0.9724016251890862 0.9681192644411426 0.9763817841565008 0.9713711734833876 0.9751798177462552 0.9724055313098525 0.976289430407828 0.9783142499348029
11 BLUE_14_BLUE_19 0.855268025230814 0.8926089253049901 0.9074539358879355 0.9132457624760941 0.9196372997870104 0.9284440331187428 0.9420694753156084 0.9353368854979897 0.9508720345598748 0.9407504810424228 0.9542252836650842 0.9500480520123499 0.9530628280814588 0.9498252561085951 0.957455298177175 0.9635229975631484 0.9627364275086451 0.9682280345164972 0.9617138249721086 0.9615943788732719 0.970334183863712 0.9662190933382255 0.9680935278174542 0.9677399350721296 0.9742020100744769 0.96685893593808 0.9718618499222161 0.971409335096571 0.9755701073109657 0.9739382835108845 0.9698915230481309 0.9736164836190752 0.9709156706095573 0.9767399481281454 0.9726800689073895 0.9781510114342502 0.9674696088904637 0.9726683032940193 0.9767651331532545 0.9782795649390245 0.9771691973547879 0.9755800537015887 0.9793083192730077 0.970923333620124 0.9852978435237997 0.9729044700641524 0.9655552132566809 0.9850991222763452 0.9774693710503419 0.9839076391196622 0.9599959282085926 0.9708511733669264 0.9738278136704229 0.9830730162584335 0.9818423007906091 0.9824120999725005 0.981969518150819 0.9826435916898034 0.9826822150653511
12 CLEAR_14_CLEAR_15 0.24278020629141633 0.25916983651235936 0.27163259108616056 0.2737208944181995 0.27401973701927607 0.27801931950099856 0.28201159714148166 0.29180571982125536 0.29172699027051346 0.2862933081760107 0.2989474948632966 0.29050525538740757 0.2972731065883806 0.3097366599660357 0.29339744461035466 0.3240690690369991 0.3141083439187462 0.33607028712699777 0.32372914129485564 0.31315467245738027 0.3280142176277624 0.31230280012877143 0.35316107054229423 0.3483165060000318 0.32314811593508996 0.3978512191815668 0.323544708885969 0.36107133844363487 0.37686180074861103 0.32916167509614386 0.40371667257301186 0.36279763958091177 0.40188373457056065 0.3993708815398862 0.4163449212773032 0.4117803555400687 0.4511573232247751 0.3618159133202828 0.45558457389439305 0.3908548103551952 0.42986076494137127 0.3916725464070079 0.4328100246975325 0.4266340105977608 0.4283948633425101 0.3896804125895729 0.4104545298269892 0.43779689660631055 0.46638583885661244 0.404274496735785 0.4546695616405315 0.42293157985482266 0.447872561887839 0.42882179195916614 0.4647978039759813 0.4817319079356902 0.5377647121652989 0.3832802645520646 0.4255031238598346
13 CLEAR_14_CLEAR_17 0.22304047485128628 0.23610683534386967 0.24109194824345687 0.24991317972094867 0.2454882060848126 0.2483201850159503 0.2590489651384087 0.26971655652408094 0.2676523388694253 0.25804186486275854 0.2657348215437834 0.25942280209480967 0.2912624967371754 0.26743377503452775 0.25363950742975977 0.29370320715392045 0.27644885932967683 0.30956499743975696 0.2905412441613872 0.28082641795224356 0.30362132157203736 0.2994870985794035 0.29988134487742635 0.3031872429267929 0.277145705745614 0.2986839805914637 0.2879529407049598 0.29564803939000334 0.3242617494035449 0.2713551159837232 0.2919423315114724 0.323237593936067 0.2652858033942078 0.30698889738248025 0.3123128969815819 0.3135878162430823 0.2912149258760583 0.3509502414516919 0.2865102182858281 0.35852536511745087 0.31677817401586256 0.33685150508480927 0.3178132853072767 0.22320179881514027 0.29538522522797633 0.32151230680216747 0.34243768905745314 0.3913971706686017 0.33440855247755524 0.2685058665871813 0.32720650700744847 0.23854180457172539 0.28081847569169305 0.3471799826196001 0.31156631593318723 0.3751447005284749 0.3877092401708451 0.2936409185898971 0.2809280026568335
14 CLEAR_14_CLEAR_18 0.8516462725457288 0.8739389408286595 0.8893069266489219 0.9004736336572416 0.9045187141718012 0.9132412665768948 0.9141072519972882 0.9184495453309903 0.9297029815783973 0.9265612169490547 0.940570228724946 0.9450646304367214 0.9360308723062407 0.9388191428345173 0.9552588077991279 0.9497848476183658 0.9511512289453823 0.9520710000992791 0.9549275768810819 0.9565895158647822 0.949158253905719 0.9593177498130251 0.962884381946799 0.9679030763616246 0.9588846885009519 0.9582220386587855 0.9564204641052941 0.9540975337649398 0.9519515179612487 0.9707985614398466 0.9595755456921532 0.9673286922405154 0.9621034368419519 0.9751976866919878 0.9655933805214774 0.9748106380311361 0.9664791569444741 0.9673118373079264 0.9705110817742996 0.9762457820438899 0.9748556639981303 0.9691257172102201 0.9764937536320742 0.9652010284758483 0.9777312230213822 0.9685268917591232 0.9734968832021803 0.9781566589801864 0.9699190804730663 0.9792432152059449 0.9518791938287634 0.9724699504654877 0.9680775605178636 0.9770239952935285 0.9716700438203938 0.975890321218278 0.9731974248605688 0.9770882953958471 0.9788411339879656
15 CLEAR_14_CLEAR_19 0.8613253411154971 0.8953986321851526 0.9099839692699313 0.9153537570200593 0.920852775439681 0.9296885886921068 0.9434510919792154 0.936291274125482 0.9513815738701912 0.9410161847292499 0.9540133675150245 0.9509320503628602 0.9530668400605891 0.951067255171582 0.9582649926986937 0.9645856685037786 0.9634537636764998 0.9684570435147681 0.9620260327420858 0.961796770311297 0.9704976209440221 0.9659179285572469 0.9678128222994651 0.9680550889119794 0.9738872399687099 0.9666841338420084 0.972083825831887 0.9718762054180521 0.9754182304013307 0.9739113679358488 0.9698665858102964 0.9734133309546392 0.9712067258575399 0.9769922727189867 0.973038694715915 0.9781540002985311 0.9678823145310886 0.9727228480098276 0.9769787156986093 0.9786476511940382 0.9774078302229824 0.9754597299928438 0.9794276500531763 0.9710498591980925 0.985426521313285 0.9733015092275507 0.9660349573331951 0.9854608076896051 0.9775646947387029 0.9841316952638951 0.9599679915916494 0.9713421643584002 0.9745903876756302 0.9829332044768189 0.9817336800927097 0.9830059657315294 0.9820643827840754 0.9829292094119534 0.9829413864615053
16 RED_15_RED_17 0.16804104524613891 0.19157849741961744 0.19922841126863688 0.2005802260478136 0.20811176967400952 0.21035419835760205 0.22010699102965978 0.24558336257326982 0.23168047173686054 0.2333853695427622 0.24460214136303543 0.2291362519039152 0.28725454630622305 0.2421009014293697 0.2735277784523754 0.3182561366065325 0.2991534698374522 0.30837976922078786 0.3084990924058232 0.30328172329861885 0.32318710826907193 0.3705405786488294 0.4200054169571637 0.36196689195228626 0.316247533434061 0.42058117914461063 0.46037062606893986 0.41696393992901615 0.46829397438466047 0.3505654011897705 0.4939897192208197 0.37719383942760587 0.5389043498553914 0.4341173439348141 0.5044932474711996 0.5064101251054408 0.6387556118323321 0.530884442574055 0.748065975925673 0.6300954795019776 0.6787613336365088 0.516756590364461 0.5983855171139697 0.41667679816602005 0.5728206345539594 0.7391451512254431 0.4928835377532633 0.7135915350797365 0.6327058026952632 0.6239443412197647 0.6604109018984887 0.7068838440297434 0.7223398839808159 0.6756599829683689 0.8036675044022968 0.6039890828774594 0.7533837749572846 0.548123681833291 0.5274494043663992
17 RED_15_RED_18 0.2725019770657758 0.291449694954863 0.2979533204292457 0.30201649628720045 0.3040730076370958 0.3063162920826937 0.3190698540285895 0.32193293539018114 0.32473992519056794 0.3161546881279158 0.3318740549484561 0.3157224555497683 0.32766418905793504 0.3427336756449704 0.31475842408982063 0.3594910661690748 0.33753448840737454 0.3571961479078893 0.3640764795107772 0.35279542786905427 0.36341992503955367 0.3434214026686234 0.369584622937482 0.3710190904880571 0.3344274045192919 0.4032689552637631 0.3592238584035155 0.3899182039267858 0.40837652962062293 0.35175419711044875 0.40840663679528194 0.3756548561299705 0.393486655269675 0.3947034693006854 0.39277780228436987 0.40938719283694464 0.4155273157245349 0.37053417815354506 0.4136582053231966 0.38810993338331795 0.42425107984825977 0.3990064532036174 0.40038141598314797 0.4131091086315954 0.4230208131953608 0.36476705342882115 0.40330829458901973 0.4268851470002914 0.4347634271070195 0.3722948423376708 0.45154411408920114 0.38676870150538395 0.4211668810452633 0.4040560716771663 0.4409665532169273 0.4423820697378821 0.5004858422955335 0.3538776418236324 0.3861651537846639
18 RED_15_RED_19 0.20197388238537306 0.21814819569773422 0.21998516542980184 0.22487608146263774 0.22556625575783884 0.22596444625480647 0.24402602178372226 0.23850612348229458 0.25136573024801834 0.23425277563344873 0.25688740579880137 0.23564169017166656 0.2524400029070076 0.2630716153848453 0.2384823354789263 0.2735688227272379 0.2816627821511248 0.30376792984133333 0.2724952164201659 0.25881435883594045 0.2846477675401481 0.2666737084348166 0.2874162236148575 0.2791999908698101 0.28899396189281995 0.3637811668090692 0.3006369784468914 0.32019760813406445 0.3638979134228454 0.2711851237602056 0.37175504344170923 0.3185873255104948 0.35184284129620963 0.3562524743681473 0.3848696282752415 0.3934735378436234 0.4266362055395118 0.32803551045423346 0.42646509191316895 0.34757369720421066 0.40459184773871304 0.37242746273161387 0.39106200967161775 0.37488754372078 0.3988019902238775 0.34287634009636186 0.4098270349992947 0.3946680819476774 0.4438709742282418 0.38375293071910677 0.43026723038476655 0.4054883853621984 0.42037385485024054 0.40871099768792296 0.4538285334707013 0.4447238219681287 0.506286276682887 0.3587499267386609 0.40502828633099225
19 GREEN_15_GREEN_17 0.1657354461932914 0.18661082457501402 0.19385633151225742 0.1946447052865931 0.20179342691409324 0.2043403688581826 0.21300196426393578 0.2388846156033727 0.2244571483216839 0.22590522999351842 0.23655154110395193 0.22254867424635616 0.27938348413878034 0.23415571322860432 0.266690366377242 0.31088202415552224 0.28972924100906766 0.299018945076953 0.3014814900233931 0.2946068742226067 0.31447414295246234 0.3611843731827296 0.4107237309133438 0.35496133174820355 0.30848296774531164 0.41024347696493724 0.45132538775730674 0.40579720098573324 0.4586315639500332 0.3420268315526353 0.48451735779962735 0.36807826297678936 0.5283253627674465 0.42268303849985267 0.49256806090063054 0.49626030660902837 0.6296420524505935 0.5215853220313147 0.739064727398404 0.6203291675065092 0.6691193791630317 0.5066393808985312 0.5879491986694222 0.4046843587425431 0.562361172080304 0.7288534784356392 0.4850383113608314 0.704070987929585 0.6225342663633785 0.6147195257983997 0.6471795976379338 0.6977193639980399 0.7135930890376962 0.6619105691456926 0.7938714950050295 0.5927573255046809 0.7437054728569837 0.5336195613134285 0.510725495433848
